Bobbie La Rue	Ballyhoo Club (Columbus, OH)	Club Chatter The Billboard 48, no. 35, August 29, 1936, 15
Francis Renault	"Show of Fashions," at the State-Lake Theater (Chicago)	Club Chatter The Billboard 48, no. 35, August 29, 1936, 15
Karyl Norman	The Torch Club (New York)	Club Chatter The Billboard 49, no. 3, January 16, 1937, 13.
Jackie May[e]	The Torch Club (New York)	Club Chatter The Billboard 49, no. 3, January 16, 1937, 13.
Roni Warren's The Gay Boy Revue	Club Paree (Hartford, CT)		The Torch Club (New York)	Club Chatter The Billboard 49, no. 3, January 16, 1937, 13.
Dixie Dixon	Fay Norman (tour)	Club Chatter The Billboard 49, no. 3, January 16, 1937, 13.
Dixie Dixon	Ballyhoo Club (Columbus, OH)	Club Chatter The Billboard 49, no. 3, January 16, 1937, 13.
Dixie Dixon	Club Villa-D (Detroit, MI)	Club Chatter The Billboard 49, no. 10, March 6, 1937, 13	emsee
Lanny Brice	Club Villa-D (Detroit, MI)	Club Chatter The Billboard 49, no. 12, March 20, 1937, 13
Bobbie La Rue	Club Villa-D (Detroit, MI)	Club Chatter The Billboard 49, no. 12, March 20, 1937, 13

Francis Renault's all-fem impersonator revue	Club 31 (Philadelphia)	Female Imps and Nudes in Philly The Billboard 49, no. 16, April 17, 1937, 11
Dee Liddell's gay boy revue	Al Ehrlich's Bally-Hoo Club (Philadelphia)	Female Imps and Nudes in Philly The Billboard 49, no. 16, April 17, 1937, 11
Bobby Dean's Scan-Dolls	Show Boat (Philadelphia)	Female Imps and Nudes in Philly The Billboard 49, no. 16, April 17, 1937, 11
*Unnamed troupe*	Verrillo's Cafe	Female Imps and Nudes in Philly The Billboard 49, no. 16, April 17, 1937, 11

Leon Le Verde	Chateau Club (Cleveland)	Night Club Reviews - Chateau Club, Cleveland Hoyt, H K. The Billboard 50, no. 4, January 22, 1938, 8
Leon Le Verde	Torch Club (Cleveland)	Night Club Reviews: TORCH CLUB Pullen. Variety 119, no. 10, August 21, 1935, 58.
Niki Nash	Torch Club (Cleveland)	Night Club Reviews: TORCH CLUB Pullen. Variety 119, no. 10, August 21, 1935, 58.
Georgie Kaye	Torch Club (Cleveland)	Night Club Reviews: TORCH CLUB Pullen. Variety 119, no. 10, August 21, 1935, 58.
Li-Kar	Torch Club (Cleveland)	Night Club Reviews: TORCH CLUB Pullen. Variety 119, no. 10, August 21, 1935, 58.
Petite Swanson	(Chicago)	CHICAGO The Billboard 59, no. 12, March 22, 1947, 19.
T. C. Jones	Carnival (Pittsburgh)	Night Club-Vaude Reviews: Carnival, Pittsburgh Litman, Len. The Billboard 64, no. 40, November 29, 1952, 16	includes some description
T. C. Jones	Jewel Box Revue	Night Club-Vaude Reviews: Carnival, Pittsburgh Litman, Len. The Billboard 64, no. 40, November 29, 1952, 16
Lionel Ames	Orpheum (Los Angeles)	LOS ANGELES Variety 84, no. 12, October 6, 1926, 92.
Bobbie Rowland	Riverside Theatre (St. V??? New York?)	New Acts: BOBBIE ROWLAND (2) Edba. Variety 90, no. 4, February 8, 1928, 36.	contains some comments on female impersonation generally at this time; vaudeville is overrun with it
Carl Nixon	Proctor's 86th St (New York)	Last Half Reviews: Proctor's 86th St., N. Y Sugarman, Elias E. The Billboard 20, no. 44, November 3, 1928, 17	blackface female impersonation
*Unnamed 6*	The Jefferson Theatre (New York?)	Dance Fables J S. The Billboard 42, no. 19, May 10, 1930, 14.
[Barto/Mann]	Loew's State Theatre (New York)	VAUDEVILLE REVIEWS: Loew's State, New York Schoenfeld, Joe. The Billboard 42, no. 23, June 7, 1930, 16.	whoever is tallest, is referred to in the review as having done a female impersonation
Chick Chandler	Friars' Frolic (?)	VAUDE NOTES The Billboard 44, no. 19, May 7, 1932, 9	"taking off on a burlesque stripper"
Jackie Collier	(returning to America)	Collier Returning to America The Billboard 44, no. 37, September 10, 1932, 7.	an imitator of Barbette!
Harry Pepper	Willow Grove, Luna (New York)	Coney Island Traube, Leonard. The Billboard 47, no. 27, July 6, 1935, 46.
Lynne Carter	Jewel Box Revue, at Loew's State (New York)	Fem Impersonations a Nice Surprise Kirby, Irwin. The Billboard 70, no. 45, November 17, 1958, 6
Beatrice Howle	Oriental (Chicago)	"Vaudeville Reviews: Oriental, Chicago" Sippel, John. The Billboard 27, no. 7, February 17, 1945, 27	she's a "fem impressionist" i.e. a female-female drag queen
Viola Layne	Capitol (New York)	VAUDEVILLE REVIEWS - Capitol, New York Martin, Joe. The Billboard 62, no. 40, October 7, 1950, 20-21	she's a "fem impressionist" i.e. a female-female drag queen
Lynne Carter	Carnegie Hall (New York)	"One-Man Show: Lynne Carter," Sege. Variety 261, no. 11, January 27, 1971, 50.
Jim Bailey	Carnegie Hall (New York)	Music Records: Bailey SRO 17G, N.Y Variety 271, no. 3, May 30, 1973, 57.
Jim Bailey	Fairmont Hotel (San Francisco)	Music Records: Bailey SRO 17G, N.Y Variety 271, no. 3, May 30, 1973, 57.
Lynne Carter	Little Hippodrome (New York)	Night Club Reviews: Little Hippodrome, N.Y. Jose. Variety 281, no. 6, December 17, 1975, 60
Lynne Carter	Inner Circle (New York)	"Spotlight on Nigh Spots" Sommers, Michael. Back Stage (Archive: 1960-2000); New York Vol. 24, no. 46, November 25, 1983, 70
Julie Dees	Harrah's Tahoe (Lake Tahoe)	Night Club Reviews: Harrah's Tahoe Shie. Variety 315, no. 9, June 27, 1984, 79.
Finocchio's	Tara Club (Downington, PA)	Night Club Reviews: Tara Club, Downingtown, Pa. Hari. Variety 325, no. 8, December 17, 1986, 88.
Lori La Rue [Walt Colvig]	Finocchio's at Tara Club (Downington, PA)	Night Club Reviews: Tara Club, Downingtown, Pa. Hari. Variety 325, no. 8, December 17, 1986, 88.
Dora Jar [Bernie Sanford]	Finocchio's at Tara Club (Downington, PA)	Night Club Reviews: Tara Club, Downingtown, Pa. Hari. Variety 325, no. 8, December 17, 1986, 88.
Crystal Lane [Kris Anderson]	Finocchio's at Tara Club (Downington, PA)	Night Club Reviews: Tara Club, Downingtown, Pa. Hari. Variety 325, no. 8, December 17, 1986, 88.
Monica Rey [Randy Bowman]	Finocchio's at Tara Club (Downington, PA)	Night Club Reviews: Tara Club, Downingtown, Pa. Hari. Variety 325, no. 8, December 17, 1986, 88.
Champagne [E. Duane Brooks]	Finocchio's at Tara Club (Downington, PA)	Night Club Reviews: Tara Club, Downingtown, Pa. Hari. Variety 325, no. 8, December 17, 1986, 88.
Karyl Norman	"Girly-Go-Round" at Orpheum (Lincoln)	"Unit Reviews: GIRLY-GO-ROUND." Barn. Variety 125, no. 1, December 16, 1936, 69.
Tess Russell	Grand Theater (Natchez, MS)	"Reviews of Units: Sollie Child's Parisian Follies Unit" Case, Harold M. The Billboard 50, no. 11, March 12, 1938, 23.
Tommy Mann	Orpheum (Los Angeles)	LOS ANGELES: Orpheum Variety 92, no. 7, August 29, 1928, 62.	he's the one behind the College Flirt sketch.. one of the few that we have documented!

Stanley Rogers	86th St (New York?)	Vaude House Reviews: 86TH ST. Bige. Variety 98, no. 13, April 9, 1930, 53.
Jarahal	The Royale (New York)	Play Reviews: Kilpatrick's Minstrels Edba. Variety 99, no. 2, April 23, 1930, 69.
Henrix/Baldwin	Englewood (Chicago)	CHICAGO Variety 100, no. 10, September 17, 1930, 68.	one of them is a "femme impersonator, in blackface"
*Unnamed 7* (part of Ladell Trio)	Luna Circus, Coney Island (New York/Brooklyn)	Parks-Pools: Hill Heads Luna Circus The Billboard 43, no. 29, July 18, 1931, 34.
Mike Ames	Loew's State (New York)	Vaudeville Reviews: Loew's State, New York Harris, Sidney. The Billboard 43, no. 34, August 22, 1931, 10.
Mike Ames	Loew's State (New York)	Vaudeville Reviews: Loew's State, New York Harris, Sidney. The Billboard 43, no. 34, August 29, 1931, 10.
*Unnamed 8* (part of West, Lake, and Hane trio)	Loop-End (Chicago)	Vaudeville Reviews: Loop-End, Chicago Green, Nat. The Billboard 43, no. 46, November 14, 1931, 10.
*Unnamed 8* (part of West, Lake, and Hane trio)	Kedzie (Chicago)	Reviews: KEDZIE, CHICAGO Variety 105, no. 4, January 5, 1932, 40.
Niles Marsh	Downtown, LA (Los Angeles)	Reviews: DOWNTOWN, L. A. Call. Variety 105, no. 12, March 1, 1932, 30.
Niles Marsh	Paramount (Los Angeles)	Variety House Reviews: PARAMOUNT, L. A. Edwa. Variety 117, no. 10, February 20, 1935, 25.
Vaude House Reviews: DOWNTOWN. L. A. Variety 106, no. 3, March 29, 1932, 43-44.
Lee Mason	Downtown, LA (Los Angeles)	Vaude House Reviews: DOWNTOWN. L. A. Variety 106, no. 3, March 29, 1932, 44.	"fake female impersonator" -- she's a femme-female drag queen - a sign of the vibrant drag culture at this time in the country...
*Unnamed company*	Van's Grill (Rensselaer, NY)	Femme Imps Sloughed In Rensselaer, N. Y. Variety 117, no. 6, January 22, 1935, 48.
*Unnamed company*	Echo Tavern (Troy, NY)	Femme Imps Sloughed In Rensselaer, N. Y. Variety 117, no. 6, January 22, 1935, 48.
Jack Mason's Playboy Revue	Echo Tavern (Troy, NY)	Femme Imps Sloughed In Rensselaer, N. Y. Variety 117, no. 6, January 22, 1935, 48.
Leon La Verde	National (Havana)	Variety House Reviews: NATIONAL, HAVANA Rene. Variety 118, no. 6, April 24, 1935, 14.
Leon La Verde	Villa Venice (Miami Beach)	Variety House Reviews: NATIONAL, HAVANA Rene. Variety 118, no. 6, April 24, 1935, 14.
*Unnamed 9*	Earle (Philadelphia)	Vaudeville Reviews: Earle, Philadelphia Murdock, H. The Billboard 47, no. 33, August 17, 1935, 16-17.
Adrienne	Minsky's (Brooklyn)	Burlesque: Burly Briefs The Billboard 3, no. 48, January 18, 1936, 27.	"abbreviated run . . . There was a squawk."
Barbette	Loew's State (New York)	Vaudeville Reviews: Loew's State, New York Harris, Sidney. The Billboard 48, no. 42, October 17, 1936, 16.
Barbette	Loew's State (New York)	POSSIBILITIES The Billboard 48, no. 43, October 24, 1936, 27.
Bert Erroll	(Chicago)	Vaude-Night-Clubs: 15 YEARS AGO Variety 125, no. 1, December 16, 1936, 58.	In 1921, Bert Erroll shocked Chicago: "Before making a change he bared one side of his body almost to the waist to show he really was a man. Spoiled his hit."
Tex Hendricks	Bill's Gay Nineties (New York?)	Vaude-Nite Clubs: Minstrel Revival May Hold Mclntyre-Heath, Tinney; Swor Staging Variety 125, no. 9, February 10, 1937, 49.
Frank Nathan	Amos 'n' Andy (touring)	MARRIAGES Variety 127, no. 11, August 25, 1937, 62.	funnily, Gypsy's marriage to Robert Mizzy is announced just above...
Karyl Norman	Torch Club (Cleveland)	Vaude-Night-Clubs: Karyl Norman, Who Once Meant Big B.O. in Cleve., Brought Back by Jabin Variety 135, no. 6, July 19, 1939, 37.
Karyl Norman	Club Stanley (Cleveland)	Vaude-Night-Clubs: Karyl Norman, Who Once Meant Big B.O. in Cleve., Brought Back by Jabin Variety 135, no. 6, July 19, 1939, 37.	"has discarded wigs for Tux and straight baritone singing"
Francis Renault	76 Club (Battle Creek, MI)	Night clubs-vaudeville: Battle Creek Club Spends The Billboard 52, no. 28, July 13, 1940, 18.
[Ted Curtis	[warehouse] (Richibucto, New Brunswick)	Vaudeville: Femme Impersonators Turn Film Exhibitors Variety 147, no. 6, July 15, 1942, 45.]
*Unnamed company*	Club Frontenac (Detroit)	Vaudeville: Det. Raid Jails Acts, Cafe Show 'Postponed' Variety 148, no. 5, October 7, 1942, 74.	venue famous for "femme impersonator shows" but was shut down "of circumstances beyond our control"
Karyl Norman	Victory Revue, at Colosimo's (Chicago)	Night Club Reviews - Colosimo's, Chicago Honigberg, Sam. The Billboard 55, no. 23, June 5, 1943, 15.
Klare Kenney	Hotel Miramar Cocktail Lounge (??)	Advertisement The Billboard 56, no. 11, March 11, 1944, 25.	advertisement: "I know that life begins at forty but still Glamorously Gay"
Ted Hendrix	Finocchio's	OBITUARIES Variety 156, no. 13, December 6, 1944, 42.	dead at age 59.
Ted Hendrix	Neil O'Brien's minstrels	OBITUARIES Variety 156, no. 13, December 6, 1944, 42.	appeared as "sepia dame""
Ted Hendrix	Club Richman (New York)	OBITUARIES Variety 156, no. 13, December 6, 1944, 42.	appeared as "sepia dame""
Francis Renault	Carnegie Chamber Music Hall (New York)	Vaudeville: Renault Reprise A Scream SRO Jose. Variety 160, no. 11, November 21, 1945, 55.
Francis Renault	Keith-Albee (touring)	Vaudeville: Renault Reprise A Scream SRO Jose. Variety 160, no. 11, November 21, 1945, 55.
Francis Renault	Carnegie Hall Chambers	House Review: Renault's Fans Stray Into Commy Confab, Crack: 'Red's So Unbecoming' Jose. Variety 164, no. 3, September 25, 1946, 22.
[Tim Moore	Boy! What a Girl (film musical), 	Pictures: Boy! What a Girl Variety 165, no. 9, February 5, 1947, 20.]
Billy Herrera	Greenwich Village Inn (New York)	Vaudeville: Jean Parker Tops Show At Greenwich Village Inn Variety 168, no. 11, November 19, 1947, 53.
Douglas Byng	Blue Angel (New York)	Night Club Reviews: New Acts - DOUGLAS BYNG Jose. Variety 170, no. 1, March 10, 1948, 55.	"At any rate, he'll attract trade, especially from the pencilled eyebrow set."
Jewel Box Revue	(Miami Beach)	Chatter: Miami Beach Solloway, Lary. Variety 176, no. 6, October 19, 1949, 62.
Jewel Box Revue	Curly's (Minneapolis)	Vaudeville: Minneapolis Cracks Down on Femme Impersonator Spots Variety 64, no. 1, December 14, 1949, 51.	closed down the venue, "the show itself was unobjectionable, as far as off-color material is concerned, but 'there have been complaints about some undesirable people frequenting the night club since the show opened.'"
*Unnamed company*	Persian Palms (Minneapolis)	Vaudeville: Minneapolis Cracks Down on Femme Impersonator Spots Variety 64, no. 1, December 14, 1949, 51.
*Unnamed company*	Drum (Minneapolis)	Vaudeville: Minneapolis Cracks Down on Femme Impersonator Spots Variety 64, no. 1, December 14, 1949, 51.	show closed down "shortly after it opened"
Eugene Ebol	Moroccan Village (New York)	Vaudeville: Five Shot in Greenwich Village Nitery Stickup Variety 177, no. 12, March 1, 1950, 51.	serious condition following a shot to the stomach at a stickup
Robert Dell *?*	Moroccan Village (New York)	Vaudeville: Five Shot in Greenwich Village Nitery Stickup Variety 177, no. 12, March 1, 1950, 51.	wounded in leg following a shot to the stomach at a stickup
Babe Baker	Ha-Ha Club (Miami)	Vaudeville: Gambling Ban Seen Aiding Miami Cafes As Bonifaces Predict Lush Season Solloway, Lary. Variety 180, no. 8, November 1, 1950, 49.
*Unnamed company*	Leon and Eddie's (Miami)	Vaudeville: Gambling Ban Seen Aiding Miami Cafes As Bonifaces Predict Lush Season Solloway, Lary. Variety 180, no. 8, November 1, 1950, 49.
Jewel Box Revue	Balconades (Pittsburgh)	Vaudeville: Femme Impersonator Unit Set for Pitt Summer Run Variety 182, no. 2, March 28, 1951, 43.
*Unnamed company*	Balconades (Pittsburgh)	Vaudeville: Femme Impersonator Unit Set for Pitt Summer Run Variety 182, no. 2, March 28, 1951, 43.
*Unnamed company*	Club 181	Vaudeville: N.Y. Drag Joint Draws Rum OK Revocation Variety 182, no. 8, May 2, 1951, 59.
Billy Herrero	Curly's (Minneapolis)	Mpls.' Male Stripper Variety 183, no. 11, August 22, 1951, 1.
*Unnamed company*	College Inn (Boston)	Vaudeville: Hub Spots Reopen Variety 185, no. 6, January 16, 1952, 53.	reopening soon, after "revamp[ing] the type of entertainment, scuttling the femme impersonator policy, which formerly comprised the bulk of the floorshow, for more conventional type."
Jewel Box Revue	Riviera Theatre Bar (Columbus, OH)	Ohio Jurist's Critique: 'Fine' Show by Fem-Male But 'Improper Dress' Variety 186, no. 13, June 4, 1952, 2.
Paul Laverne Cummings	Jewel Box Revue, at Riviera Theatre Bar (Columbus, OH)	Ohio Jurist's Critique: 'Fine' Show by Fem-Male But 'Improper Dress' Variety 186, no. 13, June 4, 1952, 2.	arrested "after being detected as an entry in a 'Miss National Boat Race of 1952' contest at the film house. He dressed in a woman's bathing suit and wore a hair ribbon, makeup, and high-heeled shoes which lace up the leg."
Jewel Box Revue	Jewel Box Revue (Miami)	Miami May Kayo Off-Color Shows Rapped by Daily Variety 187, no. 13, September 3, 1952, 1, 14.	following a "series of front-page articles in Miami Herald 'exposing' conditions among cafes here featuring femme impersonator shows, strippers and 'B' girls, Miami city commission will take up the issue tomorrow (Wed.) with expected restrictive ordinances."
*Unnamed company*	Leon and Eddie's (Miami)	Miami May Kayo Off-Color Shows Rapped by Daily Variety 187, no. 13, September 3, 1952, 1, 14.	following a "series of front-page articles in Miami Herald 'exposing' conditions among cafes here featuring femme impersonator shows, strippers and 'B' girls, Miami city commission will take up the issue tomorrow (Wed.) with expected restrictive ordinances."
*Unnamed company*	On the Beach (Miami)	Miami May Kayo Off-Color Shows Rapped by Daily Variety 187, no. 13, September 3, 1952, 1, 14.	following a "series of front-page articles in Miami Herald 'exposing' conditions among cafes here featuring femme impersonator shows, strippers and 'B' girls, Miami city commission will take up the issue tomorrow (Wed.) with expected restrictive ordinances."
*Unnamed company*	Tony Pastor's (Miami)	Miami May Kayo Off-Color Shows Rapped by Daily Variety 187, no. 13, September 3, 1952, 1, 14.	following a "series of front-page articles in Miami Herald 'exposing' conditions among cafes here featuring femme impersonator shows, strippers and 'B' girls, Miami city commission will take up the issue tomorrow (Wed.) with expected restrictive ordinances."
*Unnamed company*	Circus Bar (Miami)	Miami May Kayo Off-Color Shows Rapped by Daily Variety 187, no. 13, September 3, 1952, 1, 14.	following a "series of front-page articles in Miami Herald 'exposing' conditions among cafes here featuring femme impersonator shows, strippers and 'B' girls, Miami city commission will take up the issue tomorrow (Wed.) with expected restrictive ordinances."
Guilda	Latin Quarter Revue at Desert Inn (Las Vegas)	Unit Reviews: Latin Quarter Revue Will. Variety 190, no. 6, April 15, 1953, 64.	"billed as French Marlene Dietrich, keeps illusion going until finale when he doffs blond wig for added mitts."
Guilda	Latin Quarter Revue at Hotel Chase (St. Louis)	Night Club Reviews - Hotel Chase. St. L Sahu. Variety 190, no. 11, May 20, 1953, 50.	Is Guilda the Gilda that was charged of "indecent performance" in Ottawa, see Strip 'Gilda' of Gender in Hull Obscenity Ran Variety 225, no. 3, December 13, 1961, 51.
Mickey Arnold	Springtown Hotel (Easton, PA)	Femme Impersonator Rapped With $150 Fine Variety 192, no. 2, September 16, 1953, 52	fined for "alleged indecent and immoral shows . . . charged that Arnold sang obscene songs while dressed as a woman . . . pleaded guilty."
Francis Renault	Carnegie Recital Hall	Vaudeville: Renault's Carnegie Date Variety 196, no. 3, September 22, 1954, 58.
T.C. Jones	"New Faces of 1956," at Shubert Theatre (New York?)	Show Out of Town - New Faces of 1956 Guy. Variety 203, no. 1, June 6, 1956, 57
[T.C. Jones	Ed Sullivan Show	Tele Follow-Up Comment - Ed Sullivan Show Gros. Variety 203, no. 8, July 25, 1956, 27.]
T.C. Jones	Blue Angel (New York)	Night Club Reviews: Blue Angel, N. Y. Chan. Variety 205, no. 4, December 26, 1956, 45.
T.C. Jones	Blue Angel (New York)	Night Club Reviews: Blue Angel, N. Y Jess. Variety 204, no. 12, November 21, 1956, 54.
T.C. Jones	"New Faces of 1956," at Shubert Theatre (New York?)	Night Club Reviews: Blue Angel, N. Y Jess. Variety 204, no. 12, November 21, 1956, 54.
