,address,architect,built,demolished,original_name,later_named,owners,seats,references,history,previous_name,later_name,name,original_text
10,1633 Broadway (at 50th Street),Allen Sayles,1972,,,,Circle in the Square,681,,Off-Broadway's acclaimed Circle in the Square theatre company moved to ,,,Circle in the Square,"1633 Broadway (at 50th Street)
Built: 1972
Seats: 681
Owners/Managers: Circle in the Square
Architect: Allen Sayles
History: Off-Broadway's acclaimed Circle in the Square theatre company moved to 
        this  handsome semi-circular auditorium in 1972. Primarily noted for dramatic revivals, 
        the company presented a few musical revivals over the years. The first independently 
        produced musical to play in this house was a revival of Rocky Horror Picture Show 
        (2000).
Noteworthy Musicals: Where's Charley (Revival - 1974), Pal Joey
        (Revival - 1976), Rocky Horror Picture Show (Revival - 2000), The
        25th Annual Putman County Spelling Bee (2005) "
11,138 West 48th Street,Edward B. Corey,1912,,,,"John Cort (1912-1927), The Shuberts (1927-present)",originally 999 - now 1089,,Built by and named for producer John,,,Cort,"138 West 48th Street
Built: 1912
Seats: originally 999 - now 1,089
Owners/Managers: John Cort (1912-1927), The Shuberts (1927-present)
Architect: Edward B. Corey
History: Built by and named for producer John
        Cort, this house was 
        home to television's Merv Griffin Show from 1969 to 1972. It's longest
        running tenant to date was The Magic Show starring Doug Henning.
Noteworthy Musicals: The Princess Pat (1915), Jim Jam Jems 
        (1920) The Magic Show (1974) A Year With Frog and Toad (2003)"
12,243 West 47th Street,Herbert J. Krapp,1928,,,,The Shubert Organization (1928-present),originally 1084 - now 1096,,"Named for the distinguished American actress, the Shuberts have ",,,Ethel Barrymore,"243 West 47th Street
Built: 1928
Seats: originally 1,084 - now 1,096
Owners/Managers: The Shubert Organization (1928-present)
Architect: Herbert J. Krapp
History: Named for the distinguished American actress, the Shuberts have 
        called it simply ""The Barrymore"" since 1932.
Noteworthy Musicals: Gay Divorce (1932), Knickerbocker Holiday
        (1938), Pal Joey (1940), Best Foot Forward (1941), I
        Love My Wife (1977), Baby (1983), Company (Revival - 2006)"
13,230 West 48th Street,Herbert J. Krapp,1925,,,,"The Shubert Organization (1925-1934), Lester Osterman (1953-1967) ",originally 1075 - now 1049,,Originally named for 19th Century American actor  Edwin,"Forrest, Coronet",,Eugene O'Neill,"230 West 48th Street
Previous names: Forrest, Coronet
Built: 1925
Seats: originally 1,075 - now 1,049
Owners/Managers: The Shubert Organization (1925-1934), Lester Osterman (1953-1967) 
        Neil Simon and David Cogan (1967-1982), Jujamcyn (1982-present)
Architect: Herbert J. Krapp
History: Originally named for 19th Century American actor  Edwin
        Forrest, this handsome auditorium was home to the long-running drama Tobacco Road 
        (1933-1941). The theatre was inexplicably renamed The Coronet in 1945, then named 
        for American playwright Eugene O'Neill in 1959. The O'Neill was home to a series 
        of Neil Simon comedies when Simon was co-owner of the house from 1967 to 1982.
Noteworthy Musicals: Angel in the Wings (1947), Tickets Please 
        (1950), She Loves Me (1963), The Canterbury Tales (1969), 
        Little Me (Revival - 1982), Big River (1985), Grease 
        (Revival - 1994), Full Monty (2000), Nine (Revival - 2003)"
14,,,,,,,,,Hilton Theatre,,,,Ford Center, - see Hilton Theatre
15,261 West 47th Street,Herbert J. Krapp,1925,,Biltmore (1925-2008),,"Irwin &  Henry Chanin (1925-1933), Federal Theatre Project", originally 903 - 948 (as of 1984),,"Given a generic name, this intimate house was a favorite for dramas ",,,Samuel J Friedman,"261 West 47th Street
Former Name: Biltmore (1925-2008)
Built: 1925
Seats:  originally 903 - 948 (as of 1984)
Owners/Managers: Irwin &  Henry Chanin (1925-1933), Federal Theatre Project
        (1935-1936), Warner Brothers (1936-1952), CBS (1952-1958), David Cogan
        (1958-1986), Nederlanders & Stewart Lane (1993-??), currently owned
        by The Manhattan Theatre Club
Architect: Herbert J. Krapp
History: Given a generic name, this intimate house was a favorite for dramas 
        and comedies until the rock musical Hair had its long run here in the late 
        1960s. Dark since 1987, this theatre was looted and torched by vandals.
        Beautifully restored, it now serves as the home 
        of the Manhattan Theatre Club and was renamed for press agent Samuel
        J.Friedman in October 2008.
Noteworthy Musicals: Hair (1968), Stardust (1987)"
16,1633 Broadway (at 50th Street), Ralph Alswang ,1970-72,,Uris,, The Nederlanders (1972-present),1933,, Originally named Uris for the developer who built the office,Uris,,George  Gershwin,"1633 Broadway (at 50th Street)
Previous Name: Uris
Built: 1970-72
Seats: 1,933
Owners/Managers:  The Nederlanders (1972-present)
Architect:  Ralph Alswang 
History:  Originally named Uris for the developer who built the office
        tower surrounding it, this ugly auditorium has the advantage of being Manhattan's largest
        legitimate theatre. It was renamed for composer George Gershwin
        during the Tony Award ceremony in 1983.
Noteworthy Musicals: Via Galactica (1972), Gigi (1973), 
        Treemonisha (1975), Porgy and Bess (1976), The King and I 
        (Revival - 1977), Sweeney Todd (1979), Pirates of Penzance (1981), 
        Show Boat (Revival - 1983), Meet Me in St. Louis (1989),
        Fiddler on the Roof (Revival - 1990), Show Boat (Revival - 1994),
        Riverdance (2000), Oklahoma! (Revival - 2002), Wicked
        (2003)"
17,238 West 44th Street, ,1912,,Little Theatre,," Winthrop Ames (1912-1931), New York Times",originally 299 now 593,, Producer Winthrop Ames leased out this theatre to a,Little Theatre,,Helen  Hayes,"238 West 44th Street
Previous Name: Little Theatre
Built: 1912
Seats: originally 299, now 593
Owners/Managers:  Winthrop Ames (1912-1931), New York Times
        (1931-??), Little Theatre Group (1981-present)
Architect:  
History:  Producer Winthrop Ames leased out this theatre to a
        long succession of managers through the 1930s. From 1942 to 1959, it
        was a concert and meeting space managed by the New York Times, and was
        used as a television studio by ABC from 1959 through 1963. It has
        remained primarily a Broadway house ever since. Originally named for its
        size, this theatre was renamed for American dramatic actress 
         Helen Hayes        
        in 1983. Broadway's smallest theatre, it has only housed one musical
        production.
Noteworthy Musicals: Oh Coward (Revival - 1986), Xanadu
        (2007)"
18,213 West 42nd Street,,,,,,"Livent (1996-1999), SFX Theatrical Group (1999-present)",1821,,  Elements of the Apollo and Lyric were combined in ,"Apollo, Lyric, Ford Center",,Hilton,"213 West 42nd Street
Previous names: Apollo, Lyric, Ford Center
Opened: 1998
Seats: 1,821
Owners/Managers: Livent (1996-1999), SFX Theatrical Group (1999-present)
Architects:  Beyer, Blinder & Belle
History:   Elements of the Apollo and Lyric were combined in 
        1996-1997 to form one new theatre, retaining ornamental elements of both houses in a 
        lavish combination. Built by the Canadian production firm Livent, it was purchased by 
        SFX in mid-1999 as part of a $115 million bankruptcy buyout deal. After
        the Ford Motor Company withdrew
        sponsorship in 2004, this house was renamed for its new corporate donor,
        Hilton Hotels.
Noteworthy Musicals: Ragtime (1998),  42nd Street 
        (Revival - 2001), Young Frankenstein (2007)"
19,"Later Names: New Apollo (1979-1986), Academy (1987-1996)",Eugene DeRosa,1920,,,,"Arch and Edgar Selwyn (1920-1934), The Brandt Organization",1194,,"This theatre was named for the mythical Greek god of the sun, ",,"New Apollo (1979-1986), Academy (1987-1996)",(Apollo),"Later Names: New Apollo (1979-1986), Academy (1987-1996)
Built: 1920
Seats:  1,194
Owners/Managers: Arch and Edgar Selwyn (1920-1934), The Brandt Organization
        (1970s)
Architect: Eugene DeRosa
History: This theatre was named for the mythical Greek god of the sun, 
        who was once worshiped as a patron of the performing arts. Lost by the Selwyn 
        Brothers during the Great Depression, the Apollo became a burlesque house in 1934 
        and a movie house from 1938 to 1978. It returned to theatrical use as the 
        New Apollo in 1979, housing such dramas as On Golden Pond, Bent 
        and Fifth of July. Pointlessly renamed The Academy, it housed a series of 
        rock concerts, and was stripped of its seats to be used as a cabaret (Alcazar de 
        Paris) in 1989. The space fell into disuse in the early 1990s, and the interior 
        was demolished in 1996. Some interior ornamental plaster elements were preserved 
        and used in the new Ford Center, including the Apollo's proscenium arch
        and auditorium dome. Now part of the Hilton.
Noteworthy Musicals: Poppy (1924), George White's Scandals 
        (1926 & 1931), Flying High (1931), Take a Chance (1932)"
20,Built: 1903,Victor Hugo Koehler,1903,,,,"Eugene C. Potter who leased the Lyric to The Shuberts (1903-1924), ",1350,,The Lyric was intended as a home for American composer Reginald ,,,(Lyric),"Built: 1903
Seats:  1,350
Owners/Managers: Eugene C. Potter who leased the Lyric to The Shuberts (1903-1924), 
        Oppenheimer Brothers (1924-?), The Brandt Organization (1970s)
Architect: Victor Hugo Koehler
History: The Lyric was intended as a home for American composer Reginald 
        DeKoven's school of opera  hence, the musically inspired name ""Lyric."" 
        But the school went bankrupt before construction was completed, so it was
        leased to the Shuberts. A movie grind 
        house from 1934 to 1978, the Lyric sat abandoned through its demolition in 1996.
        The Ford Center used the Lyric's original (and sumptuous) 42nd 
        and 43rd Street facades, as well as the lobby dome and other interior ornaments.
        Now part of the Hilton.
Noteworthy Musicals: The Chocolate Soldier (1909), For Goodness 
        Sake (1922), Cocoanuts (1925), Fifty Million Frenchmen (1929)"
21,249 West 45th Street,Herbert J. Krapp,1923,,,,Shubert Organization (1923-present),originally 1385 - now 1494,,"From its opening, clean sight lines and good acoustics",,,Imperial,"249 West 45th Street
Built: 1923
Seats: originally 1,385 - now 1,494
Owners/Managers: Shubert Organization (1923-present)
Architect: Herbert J. Krapp
History: From its opening, clean sight lines and good acoustics
        have made this one of Broadway's most desirable theatres for musicals.
Noteworthy Musicals:  Rose Marie (1924), Oh Kay!
        (1926), The New Moon (1928), Leave It To Me (1938), Louisiana
        Purchase (1940), Let's Face It (1941), Annie Get Your Gun (1946), 
        Call Me Madam (1948), Silk Stockings  (1955), The Most 
        Happy Fella (1956), Carnival (1961), Fiddler on the Roof (1964),
        Zorba (1968), Pippin (1972), Two By Two (1971), They're
        Playing Our Song (1979), Dreamgirls (1981), Les Miserables 
        (Moved - 1990), The Boy from Oz (2003), Dirty Rotten
        Scoundrels (2005)"
22,252 West 45th Street,Herbert J. Krapp,1927,,Theatre Masque,,"Irwin &  Henry Chanin (1927-1933), John Golden",originally 799 - now 796,, This theatre was originally called Theatre,Theatre Masque,,John Golden,"252 West 45th Street
Previous Name: Theatre Masque
Built: 1927
Seats: originally 799 - now 796
Owners/Managers: Irwin &  Henry Chanin (1927-1933), John Golden
        (1937-1950), The Shuberts (1950-present)
Architect: Herbert J. Krapp
History:  This theatre was originally called Theatre
        Masque because it was intended for ""artistic"" dramas.
        Renamed after producer  John Golden in 1937, this intimate house has
        primarily been
        home to dramas and comedies. However, a number of small scale musicals
        have enjoyed successful runs here.
Noteworthy Musicals: Comedy in Music (1953), Beyond
        the Fringe (1952), A Party With Betty Comden and Adolph Green
        (1958), At the Drop of a Hat (1959), Beyond the Fringe
        (1962), Words and Music (1974), A Day in Hollywood/A Night in
        the Ukraine (1980), Tintypes (Moved - 1980), Falsettoes (1992)"
23,220 West 48th Street,Henry Herts Co.,1913,,,,"Harry Frazee (1913-1919), The Shuberts (1919-present)",originally 1005 - now 1096,,"Built by an owner of the Boston Red Sox, this",,,Longacre,"220 West 48th Street
Built: 1913
Seats: originally 1,005 - now 1,096
Owners/Managers: Harry Frazee (1913-1919), The Shuberts (1919-present)
Architect: Henry Herts Co.
History: Built by an owner of the Boston Red Sox, this
        theatre was named after the nearby crossroads that is now known as Times Square.
Noteworthy Musicals: Leave It To Jane (1917), Little
        Jessie James (1923), Ain't Misbehavin (1978),  Harrigan and Hart 
        (1985)"
24,205 West 46th Street,Carrere and Hastings,1910,,Globe,," Charles Dillingham (1910-1932), Roger Stephens &",originally 1416 - now 1509,, Originally named after Shakespeare's   Globe  Theatre in,Globe,,Lunt-Fontanne,"205 West 46th Street
Previous Name: Globe
Built: 1910
Seats: originally 1,416 - now 1,509
Owners/Managers:  Charles Dillingham (1910-1932), Roger Stephens &
        Robert Dowling (1958-1973), The Nederlanders (1973-present)
Architect: Carrere and Hastings
History:  Originally named after Shakespeare's   Globe  Theatre in
        London, this was the only Broadway theatre with a roof that could open on warm
        evenings  the disabled mechanism is still in place. Producer Charles
        Dillingham lost the theatre during the Great Depression, and it was used
        as a movie house from 1932 through 1957. In 1958, it was renovated and
        named after dramatic stars Alfred Lunt and Lynn
        Fontanne, who made their
        final Broadway appearance here that same year in The Visit. Since
        then, this blue and gold rococo auditorium has been used primarily as a
        venue for musicals.
Noteworthy Musicals: The Old Town (1910), The Slim
        Princess (1911), Chin Chin (1914), Jack O' Lantern
        (1917), George White's Scandals (1920, 1922, 1923), Ziegfeld
        Follies of 1921, No, No Nanette
        (1925), The Cat and the Fiddle (1931), The Sound of Music (1959),
        Little Me (1962), Walking Happy (1966), The Rothschilds
        (1970), Peter Pan (1979), Sophisticated Ladies (1981),
        Titanic (1997), Beauty and the Beast (Moved - 2000)"
25,149 West 45th Street, Herts and Tallant,1903,,,," Daniel Frohman (1903-1939), George S. Kaufman & Moss",originally 952 - now 995,,"Built by producer Daniel Frohman, who named this house",,,Lyceum,"149 West 45th Street
Built: 1903
Seats: originally 952 - now 995
Owners/Managers:  Daniel Frohman (1903-1939), George S. Kaufman & Moss
        Hart (1939-1949), The Shuberts (1949-present)
Architect:  Herts and Tallant
History: Built by producer Daniel Frohman, who named this house
        after a downtown theatre he previously owned. Old rehearsal halls and a private 
        apartment built for Frohman on the upper floors, now house the Shubert Archives.
        This house is currently Broadway's oldest continuously operating
        theatre.
Noteworthy Musicals: Fashions of 1924, Billy Barnes Revue
        (1959 - moved from Golden), Wild and Wonderful (1971), The
        Lieutenant  (1975), Your Arms Too Short to Box With God (1976),
        Something's Afoot (1976), Gentlemen Prefer Blondes (Revival - 1995)"
26,,,,,,,,,Ford Center,,,,Lyric, - see Ford Center
27,245 West 44th Street,Herbert J. Krapp,1927,,,,The Shubert Organization (1927-present),originally 1762 - now 1607,, This is the second Broadway theatre to use this name ,,,Majestic,"245 West 44th Street
Built: 1927
Seats: originally 1,762 - now 1,607
Owners/Managers: The Shubert Organization (1927-present)
Architect: Herbert J. Krapp
History:  This is the second Broadway theatre to use this name 
        the first, located at Columbus Circle and 58th Street, was demolished in
        1954. With a well-sloped auditorium and exceptional
        acoustics, it is arguably Broadway's finest house for musicals.
Noteworthy Musicals: Carousel (1945), Allegro (1947), 
        South Pacific (1949), Fanny (1954), Music Man (1957), 
        Camelot (1960), 42nd Street (Moved 1981-86), Phantom of the
        Opera (1987)"
28,Broadway at 46th Street,"John C. Portman, Jr.",1986,,,,Leased by the Nederlanders (1986-present),1578,,"Named for the high rise hotel surrounding it, this",,,Marriott Marquis,"Broadway at 46th Street
Built: 1986
Seats: 1,578
Owners/Managers: Leased by the Nederlanders (1986-present)
Architect: John C. Portman, Jr.
History: Named for the high rise hotel surrounding it, this
        house has been plagued with backstage problems caused by an architect
        seemingly who had no clue how to design a working theatre. However,
        excellent sight lines and unusually comfortable seating have made it a
        favorite with audiences.
Noteworthy Musicals: Me and My Girl (1986), Shogun
        (1990), Nick and Nora (1991) Man of La Mancha
        (Revival-1992), Goodbye Girl
        (1993) Victor/Victoria (1995), Annie Get Your
        Gun (Revival - 1999), Thoroughly Modern Millie (2002), The
        Drowsy Chaperone (2006)"
29,1515 Broadway at 44th-45th Streets, Kahn and Jacobs,1973 ,,,,The Minskoff Organization and The Nederlanders,1621,," Named for  Sam Minskoff, the developer responsible for",,,Minskoff,"1515 Broadway at 44th-45th Streets
Built: 1973 
Seats: 1,621
Owners/Managers: The Minskoff Organization and The Nederlanders
        (1973-present)
Architect:  Kahn and Jacobs
History:  Named for  Sam Minskoff, the developer responsible for
        the skyscraper surrounding the theatre. The ugly auditorium is partially
        redeemed by the unusually spacious glass-enclosed lobby, which provides
        a panoramic view of Times Square.
Noteworthy Musicals: Irene (1973), Hello Dolly (Revival -
        1975), West Side Story (Revival - 1980), Scarlet Pimpernel
        (1997), Saturday Night Fever (1999), Fiddler on the Roof
        (Revival - 2004), The Lion King (Moved - 2006)"
30,239 West 45th Street,C. Howard Crane,1921,,,," Irving Berlin and Sam Harris, currently owned by the", originally 859 - now 1010,,Songwriter Irving Berlin and producer Sam Harris almost,,,Music Box,"239 West 45th Street
Built: 1921
Seats:  originally 859 - now 1,010
Owners/Managers:  Irving Berlin and Sam Harris, currently owned by the
        Shubert Organization
Architect: C. Howard Crane
History: Songwriter Irving Berlin and producer Sam Harris almost
        went broke building this handsome theatre. The unusually wide auditorium 
        has a surprisingly intimate atmosphere, making it a popular venue.
Noteworthy Musicals: Music Box Revues (1921-24), Paris (1928), 
        Of Thee I Sing (1931), As Thousands Cheer (1933),  Lost in
        the Stars (1949),  Side by Side by Sondheim (1977), Blood Brothers (1993)"
31,208 West 41st Street, William Neil Smith,1921,,,," Walter Jordan (1921-1927), The Shuberts (1927-1959),", Originally 1164 - now 1181,," Originally a tennis court, this space was converted by","National, Billy Rose",,Nederlander,"208 West 41st Street
Previous names: National, Billy Rose
Built: 1921
Seats:  Originally 1,164 - now 1,181
Owners/Managers:  Walter Jordan (1921-1927), The Shuberts (1927-1959),
        Billy Rose (1959-??), The Nederlanders (1978-present)
Architect:  William Neil Smith
History:  Originally a tennis court, this space was converted by
        the Shuberts and theatrical agent Walter Jordan  who soon sold his
        rights to the Shuberts. When the Shuberts were forced to sell off
        theatres as part of an antitrust settlement, producer Billy Rose bought
        this venue and named it after himself. The Nederlanders bought it and renamed it The National in 1978, then
        named it for
        themselves in 1980. After years of disuse, it became home to the
        long-running Rent in 1996.
Noteworthy Musicals: Tonight at 8:30 (1936), Call Me Mister 
        (1946),  Lena Horne: The Lady and Her Music (1981),  Rent (1996)"
32,244 West 52nd Street,Herbert J. Krapp,1927,,Alvin,,"Alexander Pincus (1927-1946), Herman Bernstein", Originally 1362 - now 1428,,This popular musical comedy house was built by producers,Alvin,,Neil Simon,"244 West 52nd Street
Previous name: Alvin
Built: 1927
Seats:  Originally 1,362 - now 1,428
Owners/Managers: Alexander Pincus (1927-1946), Herman Bernstein
        (1946-1977), The Nederlanders (1977-present)
Architect: Herbert J. Krapp
History: This popular musical comedy house was built by producers
        Alex Aarons and 
        Vinton Freedley, who gave it a combination 
        of their first names(Al+vin). The theatre was renamed for playwright 
         Neil Simon in 1984.
Noteworthy Musicals: Funny Face (1927), Girl Crazy (1930), 
        Anything Goes (1934), Boys From Syracuse (1938), 
        Lady in the Dark (1941), Forum (1962), Company (1970), 
        Annie (1977), The Music Man (Revival - 2000), Hairspray (2002)"
33,214 West 42nd Street,,1903,,,," Erlanger & Klaw (1903-??), The Nederlanders",  Originally 1702 - now 1793,," The flagship of Klaw and Erlanger's theatrical empire,",,,New Amsterdam,"214 West 42nd Street
Built: 1903
Restored: 1997
Seats:   Originally 1,702 - now 1,793
Owners/Managers:  Erlanger & Klaw (1903-??), The Nederlanders
        (1983-1993), The Disney Corporation (1993-present)
Architects:  Herts & Tallant - restored by Hugh Hardy (1994)
History:  The flagship of Klaw and Erlanger's theatrical empire,
        the New Amsterdam (New York City's original Dutch colonial name)
        remains one of America's most outstanding examples of art nouveau 
        architecture. When the Great Depression made tenants scarce in the 1930s, the New
        Amsterdam became a studio for Ed Wynn's radio series. 
        The main theatre served as a movie grind house from 1937 to 1983, at which time the theatre closed
        for ""renovations."" Delays and ownership battles stretched over a decade, until Disney
        took over the property in 1996 and invested $34 million in a sumptuous restoration. 
        After more than a century, The New Amsterdam is once again Broadway's grandest theatre, 
        and is designated an official New York City landmark. A 693 seat rooftop theatre housed 
        Ziegfeld's Frolics, and served as a radio studio and rehearsal space through 
        the 1950s -- unfortunately, it was too far gone to be restored to use.
Noteworthy Musicals: Forty Five Minutes From Broadway
        (1906), The Merry Widow (1907),  Sweethearts (1913),
         Ziegfeld Follies (1913-1927), Watch Your Step (1914), 
        Sally (1920), Sunny (1925), 
         Rosalie (1928), The Bandwagon (1931), 
        Face the Music (1932), The Lion King (1997), Mary
        Poppins (2006)"
