,year,firstname,lastname,alt_name,company,comment,sources,play_performance,keyword
48,1880,,Roselle,,,/Frank Smith/ not considered a pleasing object in Philadelphia,"The Sun (1837-1992); Baltimore, Md. [Baltimore, Md]12 Jan 1880: 1.

The Sun (1837-1992); Baltimore, Md. [Baltimore, Md]14 Jan 1880: 1.

Cincinnati Enquirer (1872-1922); Cincinnati, Ohio [Cincinnati, Ohio]25 Jan 1880: 10.",,
49,1880,Neil,Burgess,,,plays Widow Bedott at the Whitneys Opera House,"Detroit Free Press (1858-1922); Detroit, Mich. [Detroit, Mich]14 May 1880: 1.",(Role: Widow Bedott),
50,1880,Eugene,,,,,"Detroit Free Press (1858-1922); Detroit, Mich. [Detroit, Mich]16 May 1880: 17.",,
51,1880,George N.,Christy,,Christy’s minstrels,"famous for “Lucinda at the Soiree,” “Lucy Long”, manager of several troupes bearing his name, died poor in New York — brother of Edwin P. Christy?)","THE COURANT. Hartford Daily Courant (1840-1887); Hartford, Conn. [Hartford, Conn]25 May 1880: 1.

St. Louis Post - Dispatch (1879-1922); St. Louis, Mo. [St. Louis, Mo]19 June 1880: 12.",,
52,1880,J. Arthur,Doty,,,"model of all female impersonators, who actually out-womans a woman","San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]10 Dec 1880: 4.",,
53,1880,Harry,Le Clair,,,"prince of female impersonators, also character comique","San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]10 Dec 1880: 4.",,
54,1881,,Farron,,,PDF saved,"Detroit Free Press (1858-1922); Detroit, Mich. [Detroit, Mich]23 Apr 1881: 6.",,
55,1881,,Emmet,,,PDF saved,"Detroit Free Press (1858-1922); Detroit, Mich. [Detroit, Mich]23 Apr 1881: 6.",,
56,1881,,Baker,,,PDF saved,"Detroit Free Press (1858-1922); Detroit, Mich. [Detroit, Mich]23 Apr 1881: 6.",,
57,1881,,,,,_____? PDF SAVED,Philadelphia Inquirer (1860-1934); Philadelphia [Philadelphia]08 Aug 1881: 3.,,
58,1881,Charles,Fostelle,,,,"Puck (1877-1918); New York Vol. 9, Iss. 232, (Aug 17, 1881): 403.",,
59,1881,,,,,Frank Reynolds looking for female impersonator,"The Stage (Archive: 1880-1959); London Iss. 24, (Sep 2, 1881): 12.

The Stage (Archive: 1880-1959); London Iss. 25, (Sep 9, 1881): 12.

The Stage (Archive: 1880-1959); London Iss. 26, (Sep 16, 1881): 12.

The Stage (Archive: 1880-1959); London Iss. 28, (Sep 30, 1881): 12.

The Stage (Archive: 1880-1959); London Iss. 29, (Oct 7, 1881): 12.

The Stage (Archive: 1880-1959); London Iss. 30, (Oct 14, 1881): 12.

The Stage (Archive: 1880-1959); London Iss. 31, (Oct 21, 1881): 12.

The Stage (Archive: 1880-1959); London Iss. 32, (Oct 28, 1881): 12.

The Stage (Archive: 1880-1959); London Iss. 33, (Nov 4, 1881): 12.

The Stage (Archive: 1880-1959); London Iss. 35, (Nov 18, 1881): 16.

The Stage (Archive: 1880-1959); London Iss. 47, (Feb 10, 1882): 14.",,
60,1881,Charles,Fostelle,,,needs a new face says Allie Smith,"Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]04 Sep 1881: 4.",,
61,1881,W.,Vestris,,,played Lady Teazle in School for Scandal,"GEIMALKIN. The Stage (Archive: 1880-1959); London Iss. 29, (Oct 7, 1881): 6-7.",School for Scandal,
62,1881,David W.,Walling,,Reynolds & Walling,"died at the house of his intimate friend E. Everett, of Bright’s disease of the kidneys; late partner Barney Reynolds — PDF saved","Cincinnati Enquirer (1872-1922); Cincinnati, Ohio [Cincinnati, Ohio]21 Oct 1881: 5.",,
63,1881,,Leon,,Haverly's,joins Haverly minstrel troupe and plays Sarah Bernhardt,"Hartford Daily Courant (1840-1887); Hartford, Conn. [Hartford, Conn]22 Oct 1881: 3.",,
64,1881,W. Henry,Rice,,,"in the role of Olivette, a well-dressed burlesque which ends with a ridiculous “farandole,” in which some high kicking is done that would make Catherine Lewis feel insignificant","St. Louis Post - Dispatch (1879-1922); St. Louis, Mo. [St. Louis, Mo]05 Dec 1881: 4.",(Role: Olivette),
65,1882,,Leon,,Kelly and Leon’s Minstrels,,"The Tribune (1877-1882); Minneapolis [Minneapolis]07 Jan 1882: 6.

St. Louis Post - Dispatch (1879-1922); St. Louis, Mo. [St. Louis, Mo]24 Jan 1882: 5.",,
66,1882,Max,Arnold,,,part of the olio,"The Sun (1837-1992); Baltimore, Md. [Baltimore, Md]10 Apr 1882: 1.",,
67,1882,Harry,Constantine,,,also performed in his own version of Cinderella,"Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]30 Apr 1882: 4.",Cinderella,
68,1882,Arthur,Doty,,,with a handsome face he made quite an impression on the audience,"Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]21 May 1882: 16.

Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]23 May 1882: 5.",,
69,1882,Harry,Le Claire,,,PDF saved,"Boston Daily Globe (1872-1922); Boston, Mass. [Boston, Mass]27 May 1882: 2.",,
70,1882,,,,,______? likely someone looking for female impersonator,"The Stage (Archive: 1880-1959); London Iss. 68, (Jul 7, 1882): 2-7.

The Stage (Archive: 1880-1959); London Iss. 85, (Nov 3, 1882): 2-7.",,
71,1882,,Roselle,,McIntyre and Heath’s Specialty Company,a good female impersonator; very fine wardrobe; equal of any artist in that line of business,"The Sun (1837-1992); Baltimore, Md. [Baltimore, Md]06 Nov 1882: 1.

Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]26 Nov 1882: 8.

Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]28 Nov 1882: 6.

R E. Detroit Free Press (1858-1922); Detroit, Mich. [Detroit, Mich]05 Dec 1882: 6.",,
72,1882-83,,Carletta,,,"the beautiful giantess, female impersonator, falsetto artist; later, Carletta brothers as Carletta and Julian Carletta, comedian and big foot performer; also credited as the great Circassian female performer","The Stage (Archive: 1880-1959); London Iss. 88, (Nov 24, 1882): 16.

The Stage (Archive: 1880-1959); London Iss. 89, (Dec 1, 1882): 16.

The Stage (Archive: 1880-1959); London Iss. 90, (Dec 8, 1882): 16.

The Stage (Archive: 1880-1959); London Iss. 95, (Jan 12, 1883): 20.

The Stage (Archive: 1880-1959); London Iss. 99, (Feb 9, 1883): 20.

The Stage (Archive: 1880-1959); London Iss. 100, (Feb 16, 1883): 16.",,
73,1883,Fred,Malcolm,,,,"San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]30 Jan 1883: 4.",,
74,1883,,Leon,,Haverly's,has left Haverly’s together with others,"The Washington Post (1877-1922); Washington, D.C. [Washington, D.C]01 Mar 1883: 2.",,
75,1883,,Ellwood,,Gorman’s Irish Comedy Company,"sings soprano in ""Muldoon’s Picnic""","The Globe (1844-1936); Toronto, Ont. [Toronto, Ont]16 Apr 1883: 6.",Muldoon’s Picnic,
76,1883,,Leon,,"Barlow, Wilson, and Co’s Mammoth Minstrels",has no superior in that particular line,"The Globe (1844-1936); Toronto, Ont. [Toronto, Ont]14 May 1883: 6.",,
77,1883,,Leon,,Barlow and Wilson,,"Detroit Free Press (1858-1922); Detroit, Mich. [Detroit, Mich]26 May 1883: 6.",,
78,1883,Charles,Nunvill,,,clever female impersonator; referred to as Chas. in article,"The Stage (Archive: 1880-1959); London Iss. 121, (Jul 13, 1883): 2.",,clever
79,1883,Fred,Darb,,,,"The Stage (Archive: 1880-1959); London Iss. 122, (Jul 20, 1883): 4",,
80,1883,,Elwood,,,an artist in his way,"Detroit Free Press (1858-1922); Detroit, Mich. [Detroit, Mich]04 Sep 1883: 6.",,
81,1883,,Lorella?,,,one of the three Lorellas was attacked with paralysis,"Detroit Free Press (1858-1922); Detroit, Mich. [Detroit, Mich]16 Sep 1883: 9.",,
82,1883,Ella,Wesner,,,,"Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]07 Oct 1883: 7.",,
83,1883,,Doty,,King’s Mammoth Burlesque and Specialty Combination,appeared as Lady Jane in a burlesque of “Patience”,"The Washington Post (1877-1922); Washington, D.C. [Washington, D.C]21 Oct 1883: 4.

The Washington Post (1877-1922); Washington, D.C. [Washington, D.C]21 Oct 1883: 4.","Patience (burlesque, role: Lady Jane)",
84,1883,Ges,Mills,,,"in a Laughable Musical Burletta, ""Opera Mad”","San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]23 Oct 1883: 7.",Opera Mad (musical burletta),
85,1883,,,,,______ can’t find,"The Washington Post (1877-1922); Washington, D.C. [Washington, D.C]24 Oct 1883: 2.

The Washington Post (1877-1922); Washington, D.C. [Washington, D.C]25 Oct 1883: 2.",,
86,1883,,Doty,,,,"The Washington Post (1877-1922); Washington, D.C. [Washington, D.C]27 Oct 1883: 2.",,
87,1883,,Ricardo ,,,/Thomas Foley/ funeral; of the San Francisco Minstrels; died at his mother’s in Brooklyn of Bright’s disease of the kidneys; 34 years old — PDF saved; Leon was an intimate friend,"Chicago Daily Tribune (1872-1922); Chicago, Ill. [Chicago, Ill]02 Nov 1883: 3.

Cincinnati Enquirer (1872-1922); Cincinnati, Ohio [Cincinnati, Ohio]02 Nov 1883: 4.",,
88,1883,,Carletta,,,,"The Stage (Archive: 1880-1959); London Iss. 138, (Nov 9, 1883): 24.",,
89,1883,Bong,Ali Sue (?),,,Chinese female impersonator! — PDF saved,"San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]27 Nov 1883: 8.",,
90,1884,,,,,THE END OF FEMALE IMPERSONATION — PDF saved,"The Stage (Archive: 1880-1959); London Iss. 150, (Feb 1, 1884): 16.",,
91,1884,D. W.,Daniels,,,,"The Stage (Archive: 1880-1959); London Iss. 153, (Feb 22, 1884): 3-8.",,
92,1884,,Shaw,,Harry Miner’s Comedy Company,probably the finest female impersonator in the business; this kind of an act is not pleasing to the larger portion of the audience; BUT his act is so neat and clever so he brings down the house — PDF saved,"Cincinnati Enquirer (1872-1922); Cincinnati, Ohio [Cincinnati, Ohio]03 Mar 1884: 8.",,clever
93,1884,J. Arthur,Doty,,,,"St. Louis Post - Dispatch (1879-1922); St. Louis, Mo. [St. Louis, Mo]10 Mar 1884: 5.",,
94,1884,,Bamford,,,,"San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]29 Apr 1884: 3.",,
95,1884,J. Arthur,Doty,,San Francisco Minstrels,article misspells as Daly,"Daily American (1875-1894); Nashville, Tenn. [Nashville, Tenn]11 May 1884: 8.

Daily American (1875-1894); Nashville, Tenn. [Nashville, Tenn]13 May 1884: 5.",,
96,1884,,Leon,,,old-school performer; continues to hold his own; best female impersonator before the public; weakness is wanting to do all the funny business himself; will be remembered as the best female impersonator on the minstrel stage,"Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]08 June 1884: 2.

San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]27 July 1884: 2. [PDF downloaded]

San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]03 Aug 1884: 2.",,
97,1884,Charles,Nunville,,,,"The Stage (Archive: 1880-1959); London Iss. 176, (Aug 1, 1884): 3",,
98,1884,,Shaw,,,excellent voice; make-up so perfect as to deceive almost everybody in attendance as to his sex,"Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]04 Nov 1884: 6.",,
99,1885,,Ellwood,,,,"San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]20 Jan 1885: 7.

San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]25 Jan 1885: 7.",,
100,1885,Fred B.,Malcolm,,,,"The Stage (Archive: 1880-1959); London Iss. 204, (Feb 13, 1885): 8-9.",,
101,1885,Doty,,,,,"Boston Daily Globe (1872-1922); Boston, Mass. [Boston, Mass]08 Mar 1885: 10.",,
102,1885,D.,Graham,,,"played Pauline in ""The Lady of Lyons""","The Stage (Archive: 1880-1959); London Iss. 214, (Apr 24, 1885): 3",The Lady of Lyons,
103,1885,Gus,Mills,,,"The “Originator,” female impersonator, character and operatic vocalist","San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]19 June 1885: 4.

San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]20 June 1885: 4.",,
104,1885,,Shaw,,,lavish applause from audience; received a welcome that would have delighted a famous legitimate actor,"Cincinnati Enquirer (1872-1922); Cincinnati, Ohio [Cincinnati, Ohio]28 Sep 1885: 8.",,
105,1885,,,,,______ can’t find,"The Stage (Archive: 1880-1959); London Iss. 244, (Nov 20, 1885): 17-24.",,
106,1886,,Lyons,,,,"Daily American (1875-1894); Nashville, Tenn. [Nashville, Tenn]30 Mar 1886: 4.",,
107,1886,Gus,Mills,,,,"San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]16 Apr 1886: 4.",,
108,1886,,Golightly,,,pasted in notes,The Minneapolis Daily Tribune (1884-1886); Minneapolis [Minneapolis]30 Apr 1886: 4.,,
109,1886,Fred,Dare,,,intention of returning to home in Europe. If all of this class of performers would go and stay over there the variety stage would be none the loser,"Cincinnati Enquirer (1872-1922); Cincinnati, Ohio [Cincinnati, Ohio]09 May 1886: 11.",,
110,1886,Ada,Hinkley,,,trickster who cheated a German almost into marriage — pasted below,"Boston Daily Globe (1872-1922); Boston, Mass. [Boston, Mass]14 July 1886: 2.",,
111,1886,,Roselle,,Baird Mammoth Minstrels,clever female impersonator,"San Francisco Chronicle (1869-Current File); San Francisco, Calif. [San Francisco, Calif]27 July 1886: 8.",,clever
112,1886,,,,,______ can’t find,"The Stage (Archive: 1880-1959); London Iss. 285, (Sep 3, 1886): 3-9.

The Stage (Archive: 1880-1959); London Iss. 295, (Nov 12, 1886): 19-24.",,
113,1886,,,,,"story about trickster in prison, pasted below","Courier-Journal (1869-1922); Louisville, Ky. [Louisville, Ky]05 Sep 1886: 15.",,
114,1886,,,,,female impersonator used as slander? — pasted below,"Minneapolis Tribune (1886-1909); Minneapolis [Minneapolis]02 Oct 1886: 4.

Minneapolis Tribune (1886-1909); Minneapolis [Minneapolis]27 Nov 1886: 4.",,
115,1886,,,,,Memories of minstrelsy — delightful variety and chic around female impersonators; generally possesses a hair-trigger sort of voice which goes off into realms of space and soars along the frescoed ceiling like a toy balloon; does all kinds of fiendish dances… — based below,Minneapolis Tribune (1886-1909); Minneapolis [Minneapolis]24 Oct 1886: 17.,,
116,1886,,Leon,,,,"St. Louis Post - Dispatch (1879-1922); St. Louis, Mo. [St. Louis, Mo]12 Nov 1886: 3.",,
