,address,architect,built,demolished,original_name,later_named,owners,seats,name,reference,original_text
24,Corner of Sixth Avenue and 48th Street,Reinhart & Co., 1932, 1955,,,,3509,Center,,"Corner of Sixth Avenue and 48th Street
Also named: RKO Roxy
Built:  1932
Demolished:  1955
Seats:  3,509
Owners/Managers: The Rockefeller Family
Architect: Reinhart & Co.
History: After housing several spectacular operetta productions,
        this huge auditorium became home to a series of popular 1940s ice shows
        produced by Olympic ice skater and movie star Sonja Henie.
        It was also used as a radio and television studio -- Ethel Merman and Mary Martin 
        broadcast their historic joint concert from here in 1953. Two years later, 
        it was demolished to make room for The Radio City Parking Garage.
Noteworthy Musicals: The Great Waltz (1934), White Horse Inn
        (1936)"
25,1567 Broadway at 47th Street,,1918, 1999,,"Holiday, Odeon, Columbia, Forum 47th Street, Movieland",,,Central,,"1567 Broadway at 47th Street
Built: 1918
Later named: Holiday, Odeon, Columbia, Forum 47th Street, Movieland
Demolished:  1999
History: Lacking hits, this house became part of Minsky's
        burlesque chain (1931-1934). After a brief return to legit use as the
        Holiday in the mid-1950s, it remained a movie house until the 1985.
        Used as a deli and a nightclub in the 1990s, the property was sold for
        $31 million and was demolished to make way for the high rise W Hotel.
Noteworthy Musicals: Always You (1920), As You Were
        (1920), Poor Little Ritz Girl (1920), Princess Virtue
        (1921), The Melody Man (1924)"
26,,,,,,,,,Central Park,Jolson's 59th,- see Jolson's 59th
27,,,,,,,,,Century,New Theatre,- see New Theatre
28,,,,,,,,,Charles Hopkins,Punch and Judy,- see Punch and Judy
29,"Chatman Street (now Park Row), between Duane & Pearl Streets",, 1822,??,,,,,Chatham  Garden,,"Chatman Street (now Park Row), between Duane & Pearl Streets
Built:  1822
Demolished: ??
History:  This combination saloon, pleasure garden and theatre specialized 
        in low-priced entertainment. Admission was a flat 25 cents. The building was 
        converted into a Presbyterian chapel in 1832."
30,East side of Chatham Street (now Park Row) between Roosevelt & James Streets.,,1839,1862,,,,,Chatham Theatre,,"East side of Chatham Street (now Park Row) between Roosevelt & James Streets.
Built: 1839
Demolished: 1862
History: Frank Chanfrau appeared here as ""Mose"" in a
        series of farces with songs. This house was renamed Purdy's National Theatre in 1850, and
        housed the first stage performance of  Uncle Tom's Cabin in 1852.
        It became a concert saloon in 1860, and was demolished two years
        later. Part of the structure became a furniture store and remained
        standing into the early 1900s."
31,1825 Broadway at 60th Street,Charles Cavanaugh; renovated by Thomas Lamb (1906),1901,1954,,,,,Circle,,"1825 Broadway at 60th Street
Built: 1901
Demolished: 1954
Architect: Charles Cavanaugh; renovated by Thomas Lamb (1906)
History: This small theatre on Columbus Circle was built to be a
        music hall, but was used for plays and some small, short-lived musicals.
Musicals:  The Merry Go Round (1908),  School Days (1908),
        The Queen of the Moulin Rouge (1908),  In Hayti (1909)"
32,,,,,,,,,Cohan and Harris,Candler, - see Candler
33,1887 Broadway (near 62nd Street), George Keister, 1905, 1977,,"New Colonial,  Harkness",,1265,Colonial,,"1887 Broadway (near 62nd Street)
Built:  1905
Later Named: New Colonial,  Harkness
Demolished:  1977
Seats:  1,265
Architect:  George Keister
History: Built by the owners of the Hippodrome, the Colonial
        aimed to be a British-style music hall  but quickly switched over to
        standard vaudeville. In 1912, it became part of the Keith circuit, and
        converted to Broadway use in the 1920s. It was a movie house in the 1940s and 50s, 
        and a TV studio in the 1960s. Rebecca Harkness        
        bought and renovated the theatre in 1971 for her ballet company, which
        went broke after one season. There were a few Broadway bookings in the
        mid-1970s, after which the building was sold off to a developer. This 
        location is currently a condominium tower with a public atrium and rock 
        climbing wall filling the space once used by the theatre.
Musicals: Runnin' Wild (1923), So Long 174th Street
        (1976), Ipi-Tombi (1977)"
34,108 West 41st Street,D.G. Malcolm,1909,1942,,"Mercury, Artef",,623,Comedy,,"108 West 41st Street
Built: 1909
Later named: Mercury, Artef
Demolished: 1942
Seats: 623
Architect: D.G. Malcolm
Owners/Managers: The Shuberts
History:  Too small to attract
        musical tenants, this theatre is sometimes remembered as the home of Orson
        Welles and John Houseman's Mercury Players (1937-1940)."
35,152 West 54th Street,, 1928, 1970,,,,1434,Craig,,"152 West 54th Street
Built:  1928
        Later names:  Adelphi, 54th St., George Abbott
Demolished:  1970
Seats:  1,434
Architects: R.E. Hall and Co.
Owners/Managers: The Shuberts (1944-1970)
History: It is unclear who this theatre was originally named for
         one source suggests a developer named it after his attorney's son.
        Often dismissed as an unlucky house, the Craig was renamed 
        Adelphi in 1934. It became a DuMont TV network studio in the 1950s
         early episodes of The Honeymooners were broadcast from here.
        The theatre returned to legitimate use in 1957, became 
        The 54th Street in 1958, and was renamed 
        for director George Abbott in 1965. After 
        housing a series of expensive flops, it was demolished 
        to make way for a high rise Hilton Hotel.
Noteworthy Musicals: On The Town (1944), Street Scene (1947),
        Look Ma I'm Dancin' (1948), No Strings  (1962), Darling
        of the Day (1968), Buck White (1969), Gantry (1970)"
36,,,,,,,,,Criterion,Hammerstein's Olympia - Lyric,- see Hammerstein's Olympia - Lyric
37,1221 Broadway at 30th Street,,1867,1920,,,,2265,Daly's,,"1221 Broadway at 30th Street
Other names: Banvard's Museum (1867), Wood's
        Museum (1868), Broadway (1876), Metropolitan
Built: 1867
Demolished: 1920
Seats: 2,265
Owners/Managers: John Banvard (1867), Henry Wood (1868), Augustin Daly
        (1879), The Shuberts
History: Initially a ""museum"" theatre, this house was
        renamed by each of its many owners. It housed two historic musical runs.
Noteworthy Musicals: Ixion (1868), The Geisha (1896)"
38,Broadway at 33rd Street (Herald Square),,1884,1909,, Standard Manhattan (1897-1909),,1100,Eagle,,"Broadway at 33rd Street (Herald Square)
Later named:  Standard Manhattan (1897-1909)
Built: 1884
Demolished: 1909
Seats: 1,100
Architects: J. B. McElfatrick & Sons
History:  The first major theatre built on Herald Square, this
        house was renamed the Standard in
        1878, and the Manhattan 
        in 1897. It was demolished to make way for Gimbel's department store,
        and the location is now a shopping mall.
Musicals:  Robin Hood (1891)"
39,753 Seventh Avenue,George Keister,1922,1930,,,,1026,Earl Carroll (1st),,"753 Seventh Avenue
Built: 1922
Demolished: 1930
Seats: 1,026
Architect: George Keister
Owner: Earl Carroll
History: Producer Earl  Carroll 
        built this understated auditorium with money provided by Texas oil millionaire 
        Col. William R. Edrington. They decided to replace it with a larger house, 
        demolishing this building to make way for it.
Musicals: Earl Carroll Vanities (1923), Kid Boots
        (1923), Earl Carroll's Sketchbook (1929)"
40,753 Seventh Avenue,George Keister and Joseph Babolnay,1931,1990,,,,3000,Earl Carroll (2nd),,"753 Seventh Avenue
Later name: Casino
Built: 1931
Demolished: 1990
Seats: 3,000
Architect: George Keister and Joseph Babolnay
Owner/Manager: Earl Carroll (1931-1932), Flo Ziegfeld (1932)
History: In an attempt to outshine the Ziegfeld Theatre, producer Earl
         Carroll built this eye-popping art deco showplace with money provided by Texas
        oil millionaire Col. William R. Edrington. Opening at the height of the
        Great Depression, it drove Carroll and Edrington into crippling debt. A gleeful 
        Ziegfeld took over the house and renamed it the Casino 
        for a 1932 revival of  Show Boat  but went bankrupt himself
        months later. After a brief stint as a nightclub, the building
        was converted to retail space in 1940. It was Whelan's Drugs Store,
        which became a Woolworth's, and the public
        gradually forgot that this structure had been a theatre. During 
        demolition in 1990, some of the colorful but long-hidden art deco 
        ornamentation was visible to bemused pedestrians.
Musicals: Earl Carroll Vanities (1931), Show Boat 
        (Revival - 1932)"
41,247 West 48th Street,Paul C. Hunter,1926,1988,,"President, Midget, Artef, American Show Shop,",,299,Edyth Totten,,"247 West 48th Street
Later Named: President, Midget, Artef, American Show Shop,
        Gilmore's, 48th Street, Erwin Piscator's Dramatic Workshop
Built: 1926
Demolished: 1988
Seats: 299
Architect: Paul C. Hunter
History: Originally named for the now-forgotten actress Edyth 
        Totten, this small theatre never had a 
        bona fide hit. Often renamed, it was frequently referred to as 
        the President because it stood across 
        the street from The President Hotel. The building became 
        part of Mamma Leone's Italian restaurant in 1955."
42,Same name also used by Eltinge,,1893,1953,,,,1099,Empire,,"Same name also used by Eltinge
        Theatre)
        1430 Broadway near 40th Street
Built: 1893
Demolished: 1953
Seats: 1,099
Architects: J. B. McElfatrick & Sons; renovated by Carerre
        & Hastings (1903)
Owner: Al Hayman
History: This intimate theatre was considered unattractive until the 
        interior was redecorated in 1903. The Empire then
        became one of the most beloved Broadway theatres of its era, housing such
        non-musical hits as Life With Father (1939) and Member of the
        Wedding (1950)."
43,444 Broadway,,,1866,,,,,Fellow's Opera House,,"444 Broadway
Opened: 1850
Demolished: 1866
History: Located in the City Assembly Rooms building, this space was
        briefly the home of Christy's Minstrels."
44,27 West 28th Street (NW Corner),," 1860s, Rebuilt after fire in 1891",1939?,,,,1529,Fifth Avenue,,"27 West 28th Street (NW Corner)
Also named:    Gilsey's Apollo Hall, St. James (1870), New Fifth
        Avenue, Madison Square (1891), H.C. Miner's 5th Avenue Theatre
Built:  1860s, Rebuilt after fire in 1891
Demolished: 1939?
Seats: 1,529
Note:  Although not on Fifth Avenue, this theatre took its
        most lasting name from an opera house that burned down in
        1873  see below for details. An 1877 renovation included an
        innovative ventilation
        system that blew air over blocks of ice, making this the world's first
        air conditioned theatre. In the 1880s, it was one of the most popular
        venues for operetta. Destroyed by fire in 1891, it was rebuilt at
        the same location and renamed the  Madison
        Square. It became a vaudeville house in 1900
        and hosted burlesque as of 1929. It was a movie house
        when it shut down in the late 1930s.
Musicals: The Pirates of Penzance  (1879 - US Premiere)"
45,Fifth Avenue at 24th Street,,1865,1873 (fire),,"Fifth Avenue Theatre, Broughman's",,,Fifth Avenue Opera House,,"Fifth Avenue at 24th Street
Later named: Fifth Avenue Theatre, Broughman's
Built: 1865
Demolished: 1873 (fire)
Note: From 1869 on, this house was managed by Augustin Daly. When
        the theatre burned down, hard times delayed rebuilding. A new theatre was built on 28th
        Street (see above).
Musicals: The Christy Minstrels performed here, followed by
        comedies and major burlesque troupes."
46,206 West 46th Street,,1911,1982,,,"Henry B. Harris and Jesse Lasky (1911-1921), A.L. Erlanger",895,Follies Bergere,,"206 West 46th Street
Later names: Fulton, Helen Hayes
Built: 1911
Demolished: 1982
Seats: 895
Architects: Herts & Tallant
        Owners: Henry B. Harris and Jesse Lasky (1911-1921), A.L. Erlanger
        (1921-??)
History: Originally a Parisian-style nightclub, this elegant auditorium 
        was soon converted to legitimate theatrical use and renamed the Fulton.
        It was named for actress Helen Hayes in 1955, and housed many important 
        plays. It was one of five theatres demolished to make way for the Marriott Marquis Hotel.
Musicals: New Faces of 1934, The Me Nobody Knows
        (1970)"
47,(Same name used briefly by   Edyth Totten),William A. Swasey,1912,1966,,Windsor,,Unverified - under 1000,Forty Eighth Street,,"(Same name used briefly by   Edyth Totten)
        157 West 48th Street
Later Named: Windsor
Built: 1912
Demolished: 1966
Seats: Unverified - under 1,000
Architect: William A. Swasey
History: This intimate house was named the 
        Windsor from 1937 to 1943, then returned to its original
        name. Its longest running tenant was the comedy Harvey (1944).
Musicals:  Hayride (1954)"
48,,,,,,,,,Forty Fourth Street, Weber and Fields' Music Hall, - see  Weber and Fields' Music Hall
49,235 West 49th Street,Herbert J. Krapp,1921,1940,Cinema 49,,,,Forty Ninth Street,,"235 West 49th Street
Later Name: Cinema 49
Built: 1921
Demolished: 1940
Owners/Managers: The Shuberts (1921-1933)
Architect: Herbert J. Krapp
History:  Built by the Shubert Brothers, who sold it during the Great
        Depression. This was a movie theatre from 1938 until its demolition two years
        later.
Musicals: Chauve-Souris (1922)"
50,,,,,,,,,Forty Sixth Street,Richard Rodgers Theatre, - see Richard Rodgers Theatre
51,14th Street between 6th and 7th Avenues,,1866,1936,,,,,Fourteenth Street,,"14th Street between 6th and 7th Avenues
Also named: Theatre Francaise (1866), Fourteenth Street (1870), Lyceum (1872), Haverly's
        14th Street (1879), Fourteenth Street (1885)
        Built:1866
Demolished: 1936
History: This house was built by producers M. Guignet & C. Drivet to hold
        French plays and comic operas. After four years, new owners renamed it
        and switched to a less restricted booking policy. This handsome house became home to J.H. Haverly's minstrel troupe. It
        had a final blaze of glory as home to Eve Le Gallienne's Civic Repertory
        company 1926-1932."
52,14th Street between 6th and 7th Avenues,,,,,,,,Francaise,14th Street,"14th Street between 6th and 7th Avenues
 - see 14th Street
Note: The name
        ""Theatre Francaise"" was also used briefly by the 
        Astor Place Opera House 
        (1851-53) and Koster & Bial's 
        (1877-78)."
53,,,,,,,,,Frazee,Lew Fields, - see Lew Fields
54,,,,,,,,,Fulton,Follies Bergere, - see Follies Bergere
55,1547 Broadway near 46th Street,,1908,1982,,,Built by Klaw & Erlanger,787,Gaiety,,"1547 Broadway near 46th Street
Later names: Gaiety Burlesque, Victoria, Embassy
Built: 1908
Demolished: 1982
Seats: 787
Architects: Herts & Tallant
Owners: Built by Klaw & Erlanger
History: This elegant space housed only one Broadway musical before
        becoming a silent movie house in 1926. Part of Minsky's burlesque chain
        from 1935 to 1942, it resumed movie screenings as the Victoria. In 1949
        the boxes were removed and the walls stripped of ornamentation. Renamed
        the Embassy in 1980, it was one of five theatres demolished to make
        space for the Marriott Marquis Hotel.
Musicals:  Tell Me More (1925)"
56,Madison Avenue at 27th Street,,1890,1925,,,,1200,Garden,,"Madison Avenue at 27th Street
Built: 1890
Demolished: 1925
Seats: 1,200
Architects: McKim, Mead and White
Owners/Managers: Albert M. Palmer (1890-1896), Charles Frohman
        (1896-1915)
History: Part of the old Madison Square Garden complex, this theatre
        booked plays, operas and musicals, becoming a favorite with fashionable
        audiences of the 1890s. Architect Stanford White was murdered while
        attending a 1906 performance in the Madison's open-air Garden Roof summer
        theatre. Soon afterward, the roof fell into disuse and the main
        theatre became part of the ""subway circuit"" of neighborhood
        theatres presenting post-Broadway tours. In its final year, it housed amateur groups
        and film screenings. This is now the location of the New York Life
        Insurance Building.
Noteworthy Musicals: The Algerian (1893), Mam'zelle
        Champagne (Roof Garden - 1906)"
57,,,,,,,,,Garrick,Harrigan's, - see Harrigan's
58,1482 Broadway,George Keister,1911,1938,,,,1086,George M. Cohan,,"1482 Broadway
Built: 1911
Demolished: 1938
Seats: 1,086
Architect: George Keister
Owners/Managers: George M. Cohan and Sam Harris (1911-1915), 
        Joe Leblang (1915-1932)
History: The lobby artwork was a tribute to the vaudeville career of
        Cohan and his family. Purchased by discount ticket agent Joe Leblang in
        1915, it served as a fulltime movie house from 1932 until its demolition
        six years later.
Noteworthy Musicals:  The Perfect Fool (1921)"
59,,,,,,,,,Germania,Wallack's (2nd), - see Wallack's (2nd)
60,8th Avenue & 23rd Street (Northwest Corner),,1868,1960,,,,,Grand Opera House,,"8th Avenue & 23rd Street (Northwest Corner)
Also named: Pike's Opera House (1868)
Built: 1868
Demolished: 1960
History: Soon after opening, this elegant theatre was renamed The
        Grand Opera House. It was used as a movie house in its final years."
61,,,,,,,,,Guild,Virginia, - see Virginia
62,,,,,,,,,Hackett,Lew Fields, - see Lew Fields
63,Broadway between 44th and 45 Streets,, 1895,1935,," Lyric, Criterion",,originally 1850,Hammerstein's Olympia - The Lyric,,"Broadway between 44th and 45 Streets
Later named:  Lyric, Criterion
Built:  1895
Demolished: 1935
Seats: originally 1,850
Architects: J. B. McElfatrick & Sons
History: Built by impresario Oscar Hammerstein I as part of a
        two-theatre complex with the much larger Music Hall (see below). The
        free-spending Hammerstein lost the theatre in 1899, and it was leased to producer
        Charles Frohman, who renamed it the Criterion.
        The space was used as a movie theatre from 1920 until its demolition
        fifteen years later."
64,Broadway between 44th and 45 Streets,, 1895,1935,,"New York, Moulin Rouge",,originally 3815 rebuilt at 1675,Hammerstein's Olympia - The  Music Hall,,"Broadway between 44th and 45 Streets
Later named: New York, Moulin Rouge
Built:  1895
Demolished: 1935
Seats: originally 3,815, rebuilt at 1,675
Architects: J. B. McElfatrick & Sons
Note: Built by impresario Oscar Hammerstein I as part of a
        multi-theatre complex with the smaller Lyric (see above) and an additional rooftop 
        theatre. Klaw and Erlanger bought the theatre and renamed it the  
         New York in the early 1900s. The 
         rooftop theatre was the original home for the 
        Ziegfeld Follies  (1907-1911), which moved into the Music Hall
        for 1912 when it was briefly renamed the Moulin Rouge. Loewe's ran this space as a movie and 
        vaudeville theatre from 1915 until its demolition.
Noteworthy Musicals: The Ziegfeld Follies (1907-1912), 
        In Dahomey (1903), 45 Minutes From Broadway (1906), 
        Naughty Marietta (1910)."
65,Broadway at 42nd Street,,1899,1915,,,,950,Hammerstein's Victoria,,"Broadway at 42nd Street
Built: 1899
Demolished: 1915
Seats: 950
Architects: J. B. McElfatrick & Sons
History: America's top vaudeville house for more than a decade, it
        faded soon after  The Palace 
        opened in 1913.  The Victoria was demolished in 1915, and should
        not be confused with it's next door neighbor, Hammerstein's Republic,
        which is now called the New
        Victory."
66,63 West 35th Street,Francis Hatch Kimball,1890,1932,,Garrick,,,Harrigan's,,"63 West 35th Street
Later named: Garrick
Built: 1890
Demolished: 1932
Architect: Francis Hatch Kimball
History: Built by actor/playwright Edward 
        Harrigan. This ornate
        theatre was renamed the Garrick in 1895, and was 
        the home of the Theatre Guild from 1919-1925. It was a burlesque house from 1929 
        until it's demolition. The program cover above left includes sketches of the
        theatre's interior and exterior.
Noteworthy Musicals: Reilly and the 400 (1890), 
        The Garrick Gaities (1926, 1927)"
67,,,,,,,,,Harris,,This name has been connected with two demolished 42nd Street theatres --
68,14th Street between 6th and 7th Avenues - see 14th,,,,,,,,Haverly's 14th Street,14th,"14th Street between 6th and 7th Avenues - see 14th
        Street"
69,,,,,,,,,Helen Hayes (1st), Folies Bergere,206 West 46th - see  Folies Bergere
70,1331 Broadway (at 34th Street),,1894,1915,,,,1148,Herald Square,,"1331 Broadway (at 34th Street)
Built: 1894
Demolished: 1915
Seats: 1,148
Architects: Rose & Stone
History: In 1915, this corner theatre became the first legitimate
        house in New York to switch over to film screenings. Actress Helen Hayes
        made her Broadway debut here as a child in the forgotten Victor Herbert
        operetta Old Dutch.
Noteworthy Musicals:  Old Dutch (1909)"
